"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
9955,15221,0.63927205452968,0.34789172602026,42.6059809391243,0.69010844559923,2.28393033188417,2912,2855,9980,0.42068428825966,0.60897758120799,0.06081802819037,0.16375700509467,155.043187997582,117.276355568735,1552.133,5400.704,1
9585,14422,0.62565194347103,0.35089525267132,41.2556053808902,0.77315602287878,1.88650069581119,2715,2761,10447,0.42122909570103,0.60420317035598,0.05620902723944,0.16320934415296,146.895036345901,109.835858975605,1565.938,5379.528,0
9181,13631,0.56388942911829,0.30202320283439,44.1023211745587,0.26843518081775,2.06852992262093,2557,2722,10101,0.36274838688962,0.52284524808912,0.05128695897102,0.16712781595748,128.379224188807,91.8839886307342,1569.607,5378.661,0.3333
9627,13354,0.56247364665535,0.25365829789945,50.84093500417,0.72690992019355,3.33523375141822,2255,2844,11002,0.31049892153833,0.44935374420128,0.0739970319082,0.20908370445943,328.267787660756,172.054789053903,1587.539,5379.331,1.3333
10717.8,14328.9,0.50149237998125,0.19202874047317,57.114142138294,0.30150753766171,4.29289303655229,2181,2706,12414,0.24667808955656,0.3523028486804,0.10087449021591,0.22615758297984,409.915868172976,189.843819093707,1588.863,5382.364,1
10920.6,14403.6,0.49400678136222,0.18080002953877,57.0305211245136,0.3332000532941,6.03758496608424,2414,2845,12249,0.24624621649009,0.34877212516226,0.1008687710319,0.2305760027176,419.379133252198,173.376073572026,1628.577,5387.099,0
11775.9,15027.9,0.47562925458659,0.16626264270853,55.5635510959868,0.42910645725823,9.0509891305485,2482,2939,13379,0.20480516530827,0.28410776320982,0.11464840657148,0.22555698591286,474.858129961529,174.893106349655,1669.174,5390.92,1
12354.2,15421,0.44823505077768,0.15955782072228,53.919794671188,0.24431269760846,10.2390195506769,2144,3299,13918,0.17728837060342,0.24499084828108,0.11203116724835,0.20726891962021,749.052981115777,217.24546898131,1709.533,5396.568,2.3333
12587.3,15576.1,0.46204088345227,0.16025156828303,52.3333332280012,0.69386489826654,12.2893844484899,2142,3274,14383,0.19813985135087,0.27155911106899,0.11207443573063,0.20216691317126,856.61605152592,191.936214230392,1778.567,5405.86,0
13290,15951.6,0.4732580655586,0.16615075620955,50.5617762446356,1.55230642952689,12.7780621615654,2058,3275,16485,0.19426796853715,0.27410460630428,0.11835516580502,0.22011474896522,839.904948459986,199.541707550274,1733.485,5417.758,0
15182.8,18187.5,0.61613703704712,0.21601828709078,49.5712093632399,0.70283861394961,14.6658958754585,2542,3484,17826,0.25932499688357,0.36404681251199,0.17029567685522,0.28511487468985,763.000929258257,138.362946110022,1694.231,5429.973,1
15325.9,18112,0.66325631886466,0.2245303350175,49.7527321570304,2.23584950369247,14.1586723917758,2709,3519,18363,0.24656957612863,0.34331831312921,0.2317977895345,0.32414039320967,635.569140151731,97.6006715062824,1730.777,5398.108,0
15270.9,18126.6,0.80494765913168,0.30351253453186,41.5740359763644,2.07007600865107,18.6500159512946,3280,3683,18011,0.33282927607638,0.4589146999846,0.2738961087066,0.3810637045833,550.306464324644,73.1854986715833,1735.843,5406.244,2
14727.4,17166.3,0.82361766616481,0.33105197577998,38.8976064129605,2.94173298560307,17.9657996386394,3141,3324,17917,0.38102917609148,0.54394827903026,0.27264287751983,0.36311807356068,NA,NA,1721.09,5413.003,0
14742.2,17594,0.88171745402568,0.28403669884951,41.382951174624,2.72329992419735,23.6797218846236,3382,3975,17668,0.32480580273769,0.44888963324256,0.3028845443255,0.39691259789399,NA,NA,1743.49,5418.55875,3
14405.5,17591.1,1.17845222089407,0.2952880874988,31.9359448779822,3.57474327430434,39.4320305881672,3801,3957,16565,0.32939802790874,0.45550022184624,0.5146860676596,0.50283762475832,NA,NA,1781.255,5422.343,1
